simTime,src,dst,policyId,success,ADsd,HCsd,RCsd
3.0,14,9,1,0,0.0,0.0,0.0
3.073378324,16,14,2,0,0.0,0.0,0.0
4.981969385,37,6,1,0,0.0,0.0,0.0
7.168222389,25,51,2,0,0.0,0.0,0.0
7.707414063,27,6,1,0,0.0,0.0,0.0
8.321398172,22,8,1,0,0.0,0.0,0.0
8.369042321,18,17,1,0,0.0,0.0,0.0
12.146844514,27,6,1,0,0.0,0.0,0.0
13.184474538,15,44,1,0,0.0,0.0,0.0
15.147288546,41,7,2,0,0.0,0.0,0.0
17.306942521,27,6,1,0,0.0,0.0,0.0
18.684848385,33,61,1,0,0.0,0.0,0.0
19.392603018,46,33,1,0,0.0,0.0,0.0
20.196718951,25,61,2,0,0.0,0.0,0.0
21.571280221,88,51,1,0,0.0,0.0,0.0
24.373705207,42,46,1,0,0.0,0.0,0.0
26.171628901,170,144,1,0,0.0,0.0,0.0
28.716584163,128,84,2,0,0.0,0.0,0.0
